run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_cost[photometric],interaction_matrix_type[current|desired|mean],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-11T14:29:09,data/playroom/images/DSC05731.jpg,"[3.4218966960906982, -0.9050403237342834, 4.088110446929932, -2.8841793537139893, -0.34622013568878174, -3.071820020675659]","[3.6688461303710938, -0.881257176399231, 4.321531772613525, -2.7888236045837402, -0.36080363392829895, -3.365999460220337]",Success,9,"[3.506192922592163, -0.24695391952991486, 4.267393589019775, -2.7547335624694824, -0.34995031356811523, 3.020369052886963]",418916814.21978194,current,"[-0.08429622650146484, -0.6580864042043686, -0.17928314208984375]","[-0.12944579124450684, 0.003730177879333496, -6.092189073562622]",0.6872597865717366,0.19062577280491436
2026-03-11T14:29:11,data/playroom/images/DSC05756.jpg,"[3.1515731811523438, -0.7819878458976746, -4.415480136871338, 0.06636515259742737, -0.04906156286597252, -0.02936900407075882]","[3.2469265460968018, -0.7780357003211975, -4.755527496337891, 0.06702842563390732, -0.04902348667383194, -0.03217942267656326]",Success,2,"[3.3051445484161377, -0.7349422574043274, -4.669164657592773, 0.07244445383548737, -0.05739673599600792, -0.031546954065561295]",471927459.5809224,current,"[-0.15357136726379395, -0.04704558849334717, 0.25368452072143555]","[-0.0060793012380599976, 0.0083351731300354, 0.002177949994802475]",0.3002553717981094,0.010476990709084824
2026-03-11T14:29:23,data/playroom/images/DSC05634.jpg,"[3.1866612434387207, 0.5935469269752502, -3.6239638328552246, 0.46880120038986206, -0.7339097261428833, -0.3827268183231354]","[3.4602909088134766, 0.6167795658111572, -3.7758474349975586, 0.46515414118766785, -0.8060609102249146, -0.37362438440322876]",Success,47,"[3.8595006465911865, 0.024536577984690666, -3.262920379638672, 0.4484689235687256, -0.8449328541755676, -0.3981247842311859]",522410154.0184194,current,"[-0.6728394031524658, 0.5690103489905596, -0.36104345321655273]","[0.020332276821136475, 0.11102312803268433, 0.015397965908050537]",0.9522804286571566,0.11584784588459349
2026-03-11T14:29:33,data/playroom/images/DSC05674.jpg,"[0.6511658430099487, 0.6133297681808472, -0.04340268671512604, 1.026340365409851, 1.1464617252349854, 1.642136573791504]","[0.6543750166893005, 0.6361193060874939, -0.04185826703906059, 1.002996563911438, 1.2555893659591675, 1.6276190280914307]",Success,35,"[0.740708589553833, 0.4879835546016693, 0.29460206627845764, 1.2303364276885986, 1.2147138118743896, 1.8701127767562866]",331568251.0003767,current,"[-0.08954274654388428, 0.12534621357917786, -0.3380047529935837]","[-0.20399606227874756, -0.0682520866394043, -0.22797620296478271]",0.37145227117829377,0.11021016419234572
2026-03-11T14:29:39,data/playroom/images/DSC05683.jpg,"[0.4697941243648529, 1.6034678220748901, 1.2382357120513916, 0.5322061777114868, 0.04015221819281578, 0.021527834236621857]","[0.48042404651641846, 1.6736685037612915, 1.3225785493850708, 0.5066414475440979, 0.036569055169820786, 0.020205629989504814]",Success,23,"[0.45851489901542664, 1.4299070835113525, 1.124526023864746, 0.46778589487075806, 0.03493836894631386, 0.03194170072674751]",463441378.0782403,current,"[0.01127922534942627, 0.1735607385635376, 0.11370968818664551]","[0.06442028284072876, 0.005213849246501923, -0.010413866490125656]",0.20779904735755633,0.06584772121636824
2026-03-11T14:29:48,data/playroom/images/DSC05611.jpg,"[1.8131767511367798, -2.09845232963562, 1.5451080799102783, 2.938943386077881, -0.06548235565423965, -3.1166832447052]","[1.798547387123108, -2.0302772521972656, 1.699480652809143, 3.003002643585205, -0.07163435965776443, -3.393732786178589]",Success,34,"[2.3367156982421875, -2.128904342651367, 0.9192490577697754, 2.9442262649536133, -0.11526701599359512, 3.0994675159454346]",481455498.3073654,current,"[-0.5235389471054077, 0.03045201301574707, 0.6258590221405029]","[-0.005282878875732422, 0.04978466033935547, -6.216150760650635]",0.8165291604269971,0.08327771627440722
2026-03-11T14:29:50,data/playroom/images/DSC05783.jpg,"[-1.6412301063537598, -0.2247534990310669, -5.166261196136475, -0.4169752299785614, 0.20644286274909973, -0.7797431945800781]","[-1.6525688171386719, -0.23005829751491547, -4.857247352600098, -0.4110291004180908, 0.20547309517860413, -0.7827697992324829]",Success,4,"[-1.6944700479507446, -0.3209741711616516, -4.835610866546631, -0.427158385515213, 0.201346755027771, -0.789772629737854]",464656757.3096839,current,"[0.05323994159698486, 0.09622067213058472, -0.33065032958984375]","[0.010183155536651611, 0.005096107721328735, 0.010029435157775879]",0.34845738560745726,0.01374391176827392
2026-03-11T14:30:00,data/playroom/images/DSC05647.jpg,"[-0.7567421793937683, -1.1147541999816895, -0.8004167675971985, 1.7476141452789307, 1.159184455871582, 1.567091703414917]","[-0.8187114000320435, -1.1461504697799683, -0.801190197467804, 1.842068076133728, 1.0867230892181396, 1.5119543075561523]",Success,37,"[-0.6421912908554077, -1.5916163921356201, -1.7597084045410156, 1.5173951387405396, 0.9975809454917908, 1.3437414169311523]",197384837.1461541,current,"[-0.1145508885383606, 0.47686219215393066, 0.9592916369438171]","[0.2302190065383911, 0.16160351037979126, 0.22335028648376465]",1.0773856788917924,0.19496171013815172
2026-03-11T14:30:02,data/playroom/images/DSC05589.jpg,"[-3.393268346786499, 0.37683960795402527, -3.593862771987915, 1.6474868059158325, 1.1794010400772095, 1.5808416604995728]","[-3.242581367492676, 0.4047612249851227, -3.386899471282959, 1.6425044536590576, 1.155527949333191, 1.5535378456115723]",Success,3,"[-3.2803890705108643, 0.2928733229637146, -3.422708749771118, 1.6432262659072876, 1.1520391702651978, 1.5744832754135132]",449518764.4274406,current,"[-0.11287927627563477, 0.08396628499031067, -0.17115402221679688]","[0.004260540008544922, 0.02736186981201172, 0.00635838508605957]",0.22155308020556372,0.027521852048558008
2026-03-11T14:30:08,data/playroom/images/DSC05694.jpg,"[-2.1760334968566895, 2.3199479579925537, -1.4232491254806519, -1.7008336782455444, 0.3518521785736084, -1.9618136882781982]","[-2.0772781372070312, 2.103584051132202, -1.3250619173049927, -1.8034226894378662, 0.3305985927581787, -1.9602183103561401]",Success,21,"[-1.5529799461364746, 2.3600027561187744, -1.5087233781814575, -1.7247563600540161, 0.2860839366912842, -1.986580491065979]",256226670.15358484,current,"[-0.6230535507202148, -0.0400547981262207, 0.08547425270080566]","[0.02392268180847168, 0.06576824188232422, 0.02476680278778076]",0.6301634405396435,0.07168707699542397
