run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-12T13:09:46,data/apt1/living/data/frame-000181.color.jpg,"[0.10509800165891647, 1.9585800170898438, 1.389739990234375, -2.2138617038726807, -0.07951642572879791, -0.9211596846580505]","[0.11277960985898972, 2.0605461597442627, 1.2547510862350464, -2.2369892597198486, -0.08154159039258957, -0.9038830399513245]",Failed,100,"[0.02728397771716118, 1.9506638050079346, 0.18008895218372345, -1.4399288892745972, -0.20829755067825317, 0.7835536003112793]",0.9777154326438904,"[0.0778140239417553, 0.00791621208190918, 1.2096510380506516]","[-0.7739328145980835, 0.12878112494945526, -1.7047132849693298]",1.2121771003416757,1.934575934566147
2026-03-12T13:10:42,data/apt1/living/data/frame-000985.color.jpg,"[-1.3940500020980835, 1.1657400131225586, 1.437399983406067, -2.171466112136841, -0.040018510073423386, 1.2546972036361694]","[-1.5030704736709595, 1.1188900470733643, 1.508366584777832, -2.3224897384643555, -0.036368515342473984, 1.271500825881958]",Failed,100,"[-1.935351014137268, 2.579240560531616, 0.6431789994239807, -1.305499792098999, 0.06448783725500107, 2.856713056564331]",0.9066336750984192,"[0.5413010120391846, -1.4135005474090576, 0.7942209839820862]","[-0.8659663200378418, -0.10450634732842445, -1.6020158529281616]",1.7093207874936245,1.7666617208525446
2026-03-12T13:11:38,data/apt1/living/data/frame-000620.color.jpg,"[-0.4081589877605438, 1.3701599836349487, 1.3523199558258057, -2.4637770652770996, 0.03762292489409447, -1.2153035402297974]","[-0.39839956164360046, 1.2561289072036743, 1.4614773988723755, -2.2311851978302, 0.03493252024054527, -1.1706335544586182]",Failed,100,"[0.9846545457839966, 1.9354872703552246, 0.41826391220092773, -2.3903162479400635, 1.3115308284759521, 1.3530552387237549]",1.349664330482483,"[-1.3928135335445404, -0.5653272867202759, 0.9340560436248779]","[-0.07346081733703613, -1.2739079035818577, -2.5683587789535522]",1.7697415554163545,2.638051179346369
2026-03-12T13:12:35,data/apt1/living/data/frame-000819.color.jpg,"[-0.5125309824943542, 1.662850022315979, 1.3816399574279785, -2.244337558746338, -0.034472379833459854, 0.19930073618888855]","[-0.4919023811817169, 1.5930533409118652, 1.3701905012130737, -2.322981119155884, -0.0320136621594429, 0.20992596447467804]",Failed,100,"[1.221401333808899, 1.9746770858764648, -0.8426557779312134, -0.2624349594116211, -0.1845007687807083, 0.7563831210136414]",0.526843249797821,"[-1.7339323163032532, -0.31182706356048584, 2.224295735359192]","[-1.9819025993347168, 0.15002838894724846, -0.5570823848247528]",2.8374722753582295,2.094019114079794
2026-03-12T13:13:31,data/apt1/living/data/frame-000820.color.jpg,"[-0.5182700157165527, 1.6557400226593018, 1.3844499588012695, -2.2310359477996826, -0.036068711429834366, 0.22398293018341064]","[-0.4870791733264923, 1.7311162948608398, 1.5130027532577515, -2.1360573768615723, -0.035753075033426285, 0.2320256233215332]",Failed,100,"[0.3930201232433319, 2.8379244804382324, -0.7524303197860718, -0.17708949744701385, 0.5483903884887695, 2.0459587574005127]",0.6187579035758972,"[-0.9112901389598846, -1.1821844577789307, 2.1368802785873413]","[-2.0539464503526688, -0.5844590999186039, -1.821975827217102]",2.606581503539666,2.151623217430991
2026-03-12T13:14:10,data/apt1/living/data/frame-000189.color.jpg,"[0.08387970179319382, 1.9203499555587769, 1.3503700494766235, -2.314951181411743, -0.11049746721982956, -0.8454316854476929]","[0.07895168662071228, 1.9766557216644287, 1.338189721107483, -2.3155629634857178, -0.11066842079162598, -0.8990378975868225]",Failed,64,"[-0.8903207182884216, 0.2759046256542206, 1.7649174928665161, 0.19732435047626495, -1.3949898481369019, 2.519860029220581]",1.5401304960250854,"[0.9742004200816154, 1.6444453299045563, -0.4145474433898926]","[-2.512275531888008, 1.2844923809170723, -3.365291714668274]",1.9557905011409573,1.6632448889103708
2026-03-12T13:15:06,data/apt1/living/data/frame-000910.color.jpg,"[-1.1775399446487427, 1.4838800430297852, 1.4373199939727783, -2.198014259338379, -0.0778290256857872, 1.0906493663787842]","[-1.078572392463684, 1.518588662147522, 1.5296154022216797, -2.133883476257324, -0.08221912384033203, 1.0952221155166626]",Failed,100,"[-1.2088242769241333, 1.4549812078475952, 1.2251592874526978, -1.8798847198486328, -0.07638402283191681, 1.0648367404937744]",0.8329427242279053,"[0.031284332275390625, 0.02889883518218994, 0.21216070652008057]","[-0.3181295394897461, -0.0014450028538703918, 0.025812625885009766]",0.21639320116839203,0.3171814378055367
2026-03-12T13:16:02,data/apt1/living/data/frame-000222.color.jpg,"[-0.49018800258636475, 1.5177299976348877, 1.3620699644088745, -2.3371665477752686, -0.03270436450839043, -0.8854130506515503]","[-0.48101332783699036, 1.5829048156738281, 1.4582260847091675, -2.2601733207702637, -0.03186381235718727, -0.8314464688301086]",Failed,100,"[-0.9107618927955627, 1.5359240770339966, -0.26187577843666077, -0.8347954750061035, -0.321887731552124, -1.3453150987625122]",1.2188515663146973,"[0.420573890209198, -0.018194079399108887, 1.6239457428455353]","[-1.502371072769165, 0.2891833670437336, 0.4599020481109619]",1.6776212913995272,1.5001078846129146
2026-03-12T13:17:01,data/apt1/living/data/frame-000616.color.jpg,"[-0.4310699999332428, 1.3151400089263916, 1.3423700332641602, -2.471634864807129, 0.04387872293591499, -1.2987561225891113]","[-0.4631681442260742, 1.4300726652145386, 1.2486259937286377, -2.661679983139038, 0.04083855450153351, -1.3666253089904785]",Failed,100,"[-0.037912994623184204, 1.2770618200302124, 1.4860867261886597, -2.8916070461273193, 0.1756180077791214, -1.1952637434005737]",0.2303072065114975,"[-0.3931570053100586, 0.0380781888961792, -0.1437166929244995]","[0.41997218132019043, -0.1317392848432064, -0.1034923791885376]",0.4203294744829839,0.46210718528419636
2026-03-12T13:17:58,data/apt1/living/data/frame-001080.color.jpg,"[0.5774109959602356, 0.643642008304596, 1.2591300010681152, -2.436105489730835, -0.2981286346912384, -0.7797117233276367]","[0.5336084365844727, 0.6298670768737793, 1.3046444654464722, -2.588275194168091, -0.27553486824035645, -0.7371646761894226]",Failed,100,"[-0.7681628465652466, 1.2690458297729492, -0.4617934823036194, -1.5306670665740967, 0.7832582592964172, -1.9190545082092285]",0.9135068655014038,"[1.3455738425254822, -0.6254038214683533, 1.7209234833717346]","[-0.9054384231567383, -1.0813868939876556, 1.1393427848815918]",2.2722844322875417,1.8731222355211994
2026-03-12T13:19:02,data/apt1/living/data/frame-000337.color.jpg,"[-0.9897300004959106, 1.6112600564956665, 1.304069995880127, -2.406367778778076, -0.08283311128616333, 0.2222491055727005]","[-1.0371304750442505, 1.5655534267425537, 1.3588604927062988, -2.522366762161255, -0.07988312840461731, 0.22747252881526947]",Failed,100,"[-0.2204485684633255, 3.2312564849853516, 0.39810284972190857, 1.266830563545227, 0.05547131597995758, -1.2508143186569214]",1.4405280351638794,"[-0.7692814320325851, -1.619996428489685, 0.9059671461582184]","[-3.6731983423233032, -0.1383044272661209, 1.4730634242296219]",2.0092184599757954,2.768909271571369
2026-03-12T13:20:06,data/apt1/living/data/frame-000966.color.jpg,"[-1.5361599922180176, 1.4987200498580933, 1.485319972038269, -2.1836893558502197, -0.11499490588903427, 1.3467891216278076]","[-1.512709140777588, 1.4345532655715942, 1.4933332204818726, -2.2679593563079834, -0.1249256432056427, 1.415732741355896]",Failed,100,"[-2.7278144359588623, 0.09654361009597778, -0.20086966454982758, -0.817314624786377, 0.30210575461387634, -0.34069985151290894]",0.4144377112388611,"[1.1916544437408447, 1.4021764397621155, 1.6861896365880966]","[-1.3663747310638428, -0.4171006605029106, 1.6874889731407166]",2.4958715055163316,2.185007137206738
2026-03-12T13:21:08,data/apt1/living/data/frame-000394.color.jpg,"[-1.441640019416809, 1.7018100023269653, 1.4615600109100342, -2.147508144378662, -0.18619804084300995, 1.0249360799789429]","[-1.5716556310653687, 1.5623494386672974, 1.3314729928970337, -2.114201068878174, -0.19585058093070984, 1.0032293796539307]",Failed,100,"[-2.9200501441955566, 1.2453303337097168, -0.49702689051628113, -0.7139492034912109, 0.3174576759338379, -0.7416371703147888]",0.8384721875190735,"[1.4784101247787476, 0.45647966861724854, 1.9585869014263153]","[-1.4335589408874512, -0.5036557167768478, 1.7665732502937317]",2.49602340440709,2.2524664490872723
2026-03-12T13:22:09,data/apt1/living/data/frame-000740.color.jpg,"[-0.3613379895687103, 1.2464100122451782, 1.3415299654006958, -2.44999361038208, 0.029978616163134575, -1.3403277397155762]","[-0.3864167630672455, 1.2631127834320068, 1.3394604921340942, -2.4389560222625732, 0.032812438905239105, -1.322094440460205]",Failed,100,"[0.03489955514669418, 1.0328516960144043, 1.3004525899887085, -2.6646506786346436, 0.23463086783885956, -1.0594110488891602]",0.5067780017852783,"[-0.3962375447154045, 0.21355831623077393, 0.041077375411987305]","[0.21465706825256348, -0.20465225167572498, -0.280916690826416]",0.45199413386033316,0.42670446212539737
2026-03-12T13:22:47,data/apt1/living/data/frame-000953.color.jpg,"[-1.6489399671554565, 1.596809983253479, 1.5355199575424194, -2.138362169265747, -0.1441253125667572, 1.4371744394302368]","[-1.7052041292190552, 1.454608678817749, 1.557412028312683, -2.0304818153381348, -0.14378635585308075, 1.426423192024231]",Failed,61,"[-2.593585252761841, 2.134877920150757, 1.5444087982177734, 1.1570569276809692, -0.8258705735206604, 1.039466142654419]",1.5762187242507935,"[0.9446452856063843, -0.5380679368972778, -0.008888840675354004]","[-3.2954190969467163, 0.6817452609539032, 0.39770829677581787]",1.0871756214263693,3.099918277152365
2026-03-12T13:23:42,data/apt1/living/data/frame-000505.color.jpg,"[0.8533589839935303, -0.09050320088863373, 1.232200026512146, -2.4801077842712402, -0.0381648913025856, -0.5618543028831482]","[0.9073377847671509, -0.0858132541179657, 1.1797033548355103, -2.329833507537842, -0.03893038630485535, -0.6037789583206177]",Failed,90,"[2.661572217941284, 0.4613834023475647, -0.10610292106866837, -2.2295660972595215, -0.5093393325805664, 0.6326659321784973]",1.0623266696929932,"[-1.808213233947754, -0.5518866032361984, 1.3383029475808144]","[-0.25054168701171875, 0.4711744412779808, -1.1945202350616455]",2.3163049673475378,1.3562750460652506
2026-03-12T13:24:06,data/apt1/living/data/frame-000213.color.jpg,"[-0.32338500022888184, 1.534019947052002, 1.365280032157898, -2.3151752948760986, -0.07175751775503159, -1.0410704612731934]","[-0.32286590337753296, 1.4909156560897827, 1.4564623832702637, -2.454274892807007, -0.06728380918502808, -1.0713489055633545]",Failed,37,"[-0.43742066621780396, 0.055568382143974304, -0.11685466021299362, -0.05984431505203247, 0.416085809469223, 0.8216800093650818]",1.0596721172332764,"[0.11403566598892212, 1.4784515649080276, 1.4821346923708916]","[-2.255330979824066, -0.4878433272242546, -1.8627504706382751]",2.0965558445283277,2.378235288469414
2026-03-12T13:25:05,data/apt1/living/data/frame-000742.color.jpg,"[-0.3532789945602417, 1.2259999513626099, 1.3393499851226807, -2.454881429672241, 0.031952328979969025, -1.3885403871536255]","[-0.34579789638519287, 1.2317503690719604, 1.2337572574615479, -2.51889705657959, 0.032901450991630554, -1.4300217628479004]",Failed,100,"[-0.26006069779396057, 1.5818281173706055, 1.5492304563522339, -2.5426828861236572, -0.26760485768318176, -1.5774059295654297]",0.23162905871868134,"[-0.09321829676628113, -0.3558281660079956, -0.20988047122955322]","[0.08780145645141602, 0.2995571866631508, 0.1888655424118042]",0.42350105877100175,0.3697019530528384
2026-03-12T13:25:35,data/apt1/living/data/frame-000608.color.jpg,"[-0.37307900190353394, 1.2092100381851196, 1.3590699434280396, -2.4317808151245117, 0.025815993547439575, -1.5029267072677612]","[-0.38175535202026367, 1.1851778030395508, 1.2590422630310059, -2.596644401550293, 0.027290716767311096, -1.5169754028320312]",Failed,51,"[-0.45064008235931396, -0.07595711201429367, -1.1227232217788696, 0.0053472211584448814, 0.0447828471660614, -0.9165189266204834]",0.9626168012619019,"[0.07756108045578003, 1.2851671501994133, 2.481793165206909]","[-2.4371280362829566, -0.018966853618621826, -0.5864077806472778]",2.795884053393645,2.4481212227049167
2026-03-12T13:26:31,data/apt1/living/data/frame-000449.color.jpg,"[-1.4765100479125977, 0.9712939858436584, 1.3912700414657593, -2.189842939376831, -0.08815190941095352, 1.2420248985290527]","[-1.48003089427948, 0.909710705280304, 1.3977863788604736, -2.2264771461486816, -0.08990097045898438, 1.1611660718917847]",Failed,100,"[-2.8440756797790527, 4.266571998596191, -1.7319682836532593, 0.2435435652732849, 0.008868956938385963, 2.4273200035095215]",1.0751214027404785,"[1.367565631866455, -3.295278012752533, 3.1232383251190186]","[-2.433386504650116, -0.09702086634933949, -1.1852951049804688]",4.741699123129264,2.602041796699838
