run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-05T10:42:37,data/playroom/images/DSC05711.jpg,"[0.05133509635925293, 0.9658869504928589, 2.5654540061950684, -2.4165613651275635, 0.4981957972049713, -1.5373976230621338]","[0.04242595285177231, 0.7631977200508118, 1.9217087030410767, -3.08020281791687, 0.532943844795227, -1.5378086566925049]",Failed,5,"[-11.971381187438965, 0.5447643399238586, -3.24151349067688, 1.2739486694335938, 1.2684396505355835, 2.1937782764434814]",0.1343391239643097,"[12.022716283798218, 0.42112261056900024, 5.806967496871948]","[-3.6905100345611572, -0.7702438533306122, -3.7311758995056152]",13.35829040721778,1.3368207926065052
2026-03-05T10:42:38,data/playroom/images/DSC05714.jpg,"[-0.5735580921173096, 0.8898141980171204, 2.683250665664673, 2.175408124923706, 0.48598313331604004, -1.68996000289917]","[-0.7249590754508972, 0.6799331903457642, 2.859562873840332, 1.7931270599365234, 0.45598122477531433, -2.028604507446289]",Success,5,"[-0.5714258551597595, 0.886289119720459, 2.6853227615356445, 2.174992322921753, 0.4854401648044586, -1.6912344694137573]",0.03166681528091431,"[-0.002132236957550049, 0.003525078296661377, -0.0020720958709716797]","[0.000415802001953125, 0.0005429685115814209, 0.0012744665145874023]",0.004611528243352007,0.0012638006942603617
2026-03-05T10:42:38,data/playroom/images/DSC05712.jpg,"[-0.1453109234571457, 1.0058177709579468, 2.4331729412078857, -3.0375282764434814, 0.5474262237548828, -1.5920486450195312]","[-0.15883582830429077, 0.7215441465377808, 2.2069690227508545, -2.3577425479888916, 0.5898356437683105, -1.7052524089813232]",Success,4,"[1.302277684211731, -1.6829768419265747, 4.83534574508667, -2.5512185096740723, 0.4748569428920746, -1.6856787204742432]",0.018174266442656517,"[-1.4475886076688766, 2.6887946128845215, -2.402172803878784]","[-0.4863097667694092, 0.07256928086280823, 0.09363007545471191]",3.8853009442029585,0.542997978660373
2026-03-05T10:42:40,data/playroom/images/DSC05644.jpg,"[3.572208881378174, -2.32153582572937, 2.610912561416626, 1.0318690538406372, 0.23161272704601288, -1.9122806787490845]","[2.9985299110412598, -1.956262469291687, 3.2465529441833496, 0.8561396598815918, 0.2758462429046631, -2.182558298110962]",Failed,20,"[3.589522123336792, -2.3313865661621094, 2.613924980163574, 1.0364705324172974, 0.2293310910463333, -1.9112974405288696]",0.03526278957724571,"[-0.017313241958618164, 0.009850740432739258, -0.003012418746948242]","[-0.004601478576660156, 0.0022816359996795654, -0.0009832382202148438]",0.02014596984257213,0.005027838117069921
2026-03-05T10:42:40,data/playroom/images/DSC05726.jpg,"[3.190886974334717, 0.0325845442712307, 3.8765552043914795, 2.1117606163024902, 0.42106327414512634, -1.6236045360565186]","[2.2441420555114746, 0.03366853669285774, 3.2426867485046387, 2.4743826389312744, 0.45486170053482056, -1.9874467849731445]",Success,5,"[2.9316043853759766, -0.17935417592525482, 3.975541591644287, 2.1369054317474365, 0.43369898200035095, -1.633643627166748]",0.02187340520322323,"[0.25928258895874023, 0.21193872019648552, -0.09898638725280762]","[-0.02514481544494629, -0.01263570785522461, 0.010039091110229492]",0.34920450586588087,0.0331956808277927
2026-03-05T10:42:41,data/playroom/images/DSC05755.jpg,"[0.35945019125938416, 0.8400701880455017, 1.0350751876831055, -2.8237781524658203, 0.2023688703775406, -3.140092611312866]","[0.3580305278301239, 0.6993892192840576, 1.2172083854675293, -3.0365943908691406, 0.17640669643878937, -2.2975924015045166]",Success,4,"[0.49047473073005676, 0.9246382117271423, 1.053118109703064, -2.8108999729156494, 0.18181198835372925, -3.128051519393921]",0.022583946585655212,"[-0.1310245394706726, -0.08456802368164062, -0.018042922019958496]","[-0.012878179550170898, 0.02055688202381134, -0.012041091918945312]",0.1569863930662103,0.02596533590056397
2026-03-05T10:42:41,data/playroom/images/DSC05693.jpg,"[-2.1164369583129883, 2.3675010204315186, -1.4675196409225464, -1.0038775205612183, 0.6037507057189941, -1.8216723203659058]","[-2.472134590148926, 2.7933759689331055, -1.1350127458572388, -0.9762726426124573, 0.7449938654899597, -2.0202693939208984]",Success,5,"[-2.1106884479522705, 2.3613810539245605, -1.4188933372497559, -1.0069241523742676, 0.6035105586051941, -1.8246369361877441]",0.027490388602018356,"[-0.0057485103607177734, 0.006119966506958008, -0.04862630367279053]","[0.0030466318130493164, 0.00024014711380004883, 0.002964615821838379]",0.04934588909212204,0.0028061913619406133
2026-03-05T10:42:42,data/playroom/images/DSC05619.jpg,"[3.599987030029297, -1.5662553310394287, 2.8980751037597656, 1.905575156211853, -0.04213210940361023, 3.091285467147827]","[3.6281332969665527, -1.8471485376358032, 3.521672010421753, 1.9657853841781616, -0.02954007126390934, 2.992042303085327]",Success,5,"[3.616560220718384, -1.5282180309295654, 2.911430835723877, 1.9078563451766968, -0.04164770245552063, 3.0948452949523926]",0.034522414207458496,"[-0.016573190689086914, -0.03803730010986328, -0.013355731964111328]","[-0.00228118896484375, -0.0004844069480895996, -0.0035598278045654297]",0.04358764074324082,0.0043348573309802
2026-03-05T10:42:43,data/playroom/images/DSC05625.jpg,"[2.5172932147979736, -1.8435211181640625, 0.40192317962646484, 1.512284278869629, -1.149131417274475, -1.2708157300949097]","[3.1541528701782227, -1.9626048803329468, 0.4009588360786438, 1.6200366020202637, -0.9424175024032593, -1.3089890480041504]",Success,5,"[2.5512278079986572, -1.8759050369262695, 0.38593223690986633, 1.511735439300537, -1.1573575735092163, -1.2726359367370605]",0.03108844719827175,"[-0.033934593200683594, 0.03238391876220703, 0.01599094271659851]","[0.0005488395690917969, 0.008226156234741211, 0.001820206642150879]",0.049557896031395855,0.00855045914719093
2026-03-05T10:42:44,data/playroom/images/DSC05600.jpg,"[-2.6199772357940674, -2.4379429817199707, 2.238391637802124, 2.873112201690674, 0.6435403823852539, 2.793163299560547]","[-2.6331777572631836, -2.929213285446167, 1.7660624980926514, 2.198975086212158, 0.751886248588562, 3.267455577850342]",Failed,20,"[-4.2617645263671875, 5.504465103149414, -3.678830862045288, 0.8396249413490295, 0.6629762649536133, 0.5765408873558044]",0.11994379758834839,"[1.6417872905731201, -7.942408084869385, 5.917222499847412]","[2.0334872603416443, -0.019435882568359375, 2.2166224122047424]",10.039463820682181,1.5983629178167897
