run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed|Unknown],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-02-19T13:48:18,data/apt1/kitchen/data/frame-000891.color.jpg,"[-2.3542299270629883, -2.757009983062744, 1.4593499898910522, -2.2497804164886475, -0.1539367437362671, 1.8347141742706299]","[-2.430009365081787, -2.8043811321258545, 1.5307103395462036, -2.200361490249634, -0.15097413957118988, 1.8098058700561523]",Success,5,"[-2.387911796569824, -2.7726643085479736, 1.5134828090667725, -2.3110005855560303, -0.14772842824459076, 1.833208680152893]",0.04269333928823471,"[0.03368186950683594, 0.015654325485229492, -0.054132819175720215]","[0.06122016906738281, -0.006208315491676331, 0.0015054941177368164]",0.06564973992168022,0.0617770527922766
2026-02-19T13:48:18,data/apt1/kitchen/data/frame-001053.color.jpg,"[-1.3655500411987305, -2.837090015411377, 1.403190016746521, -2.45570969581604, -0.09486395865678787, 3.0261833667755127]","[-1.3717424869537354, -2.7664191722869873, 1.410834789276123, -2.5617876052856445, -0.09119806438684464, 3.078697919845581]",Success,5,"[-1.366900086402893, -2.7987489700317383, 1.3981953859329224, -2.437870740890503, -0.09712525457143784, 3.028625249862671]",0.04491385444998741,"[0.0013500452041625977, -0.03834104537963867, 0.004994630813598633]","[-0.01783895492553711, 0.0022612959146499634, -0.002441883087158203]",0.03868856058088674,0.01837538045843206
2026-02-19T13:48:24,data/apt1/kitchen/data/frame-000068.color.jpg,"[-2.025130033493042, -1.2759100198745728, 1.6388399600982666, -2.094691038131714, -0.06606625020503998, 1.221970558166504]","[-2.0123493671417236, -1.2183856964111328, 1.7057855129241943, -2.1718499660491943, -0.06776062399148941, 1.2571946382522583]",Success,3,"[-2.0089755058288574, -1.2364120483398438, 1.683558464050293, -2.130643606185913, -0.05054503679275513, 1.2535322904586792]",0.03492426499724388,"[-0.01615452766418457, -0.039497971534729004, -0.04471850395202637]","[0.03595256805419922, -0.015521213412284851, -0.03156173229217529]",0.06181264526873579,0.04896158826331193
2026-02-19T13:48:24,data/apt1/kitchen/data/frame-000838.color.jpg,"[-2.153830051422119, -2.112529993057251, 1.478559970855713, -2.281064510345459, -0.24240897595882416, 1.587028980255127]","[-2.0859344005584717, -2.056436061859131, 1.4090803861618042, -2.1940555572509766, -0.24953311681747437, 1.5700809955596924]",Success,4,"[-2.1171298027038574, -2.0758538246154785, 1.4380205869674683, -2.2495381832122803, -0.2372506558895111, 1.6004283428192139]",0.04105076566338539,"[-0.03670024871826172, -0.03667616844177246, 0.04053938388824463]","[-0.03152632713317871, -0.005158320069313049, -0.013399362564086914]",0.06584444724948342,0.037426342704055336
2026-02-19T13:48:31,data/apt1/kitchen/data/frame-000224.color.jpg,"[-2.2423899173736572, -2.782140016555786, 1.3931000232696533, -2.2337534427642822, -0.15908218920230865, 2.0315799713134766]","[-2.2972538471221924, -2.8969151973724365, 1.3464508056640625, -2.2172939777374268, -0.15846708416938782, 2.0938541889190674]",Success,5,"[-2.249047040939331, -2.834531784057617, 1.3714135885238647, -2.227721929550171, -0.19920307397842407, 2.0096514225006104]",0.03397195413708687,"[0.006657123565673828, 0.052391767501831055, 0.021686434745788574]","[-0.006031513214111328, 0.04012088477611542, 0.02192854881286621]",0.057092171513421316,0.04560391707396163
2026-02-19T13:48:31,data/apt1/kitchen/data/frame-000410.color.jpg,"[-2.049760103225708, -1.0902700424194336, 1.7259000539779663, -2.1056816577911377, -0.08704611659049988, 1.5870506763458252]","[-2.015401601791382, -1.1210823059082031, 1.6547927856445312, -2.0573909282684326, -0.0908803716301918, 1.6525154113769531]",Success,4,"[-2.0212438106536865, -1.1009160280227661, 1.6627365350723267, -2.0514397621154785, -0.09597533941268921, 1.5969756841659546]",0.03812460973858833,"[-0.028516292572021484, 0.01064598560333252, 0.06316351890563965]","[-0.05424189567565918, 0.008929222822189331, -0.009925007820129395]",0.07011523423666634,0.05673419238104829
2026-02-19T13:48:38,data/apt1/kitchen/data/frame-000793.color.jpg,"[-2.1225099563598633, -1.5638999938964844, 1.6502200365066528, -2.038088321685791, -0.23269544541835785, 1.3765398263931274]","[-2.0798864364624023, -1.6173312664031982, 1.7126901149749756, -2.1156246662139893, -0.23589560389518738, 1.3211050033569336]",Success,4,"[-2.104370355606079, -1.5854458808898926, 1.6577152013778687, -2.0309646129608154, -0.24284307658672333, 1.3661117553710938]",0.04485916346311569,"[-0.01813960075378418, 0.021545886993408203, -0.00749516487121582]","[-0.007123708724975586, 0.010147631168365479, 0.010428071022033691]",0.029145288783714463,0.015082113937478384
2026-02-19T13:48:39,data/apt1/kitchen/data/frame-000538.color.jpg,"[-2.2865099906921387, -2.6432199478149414, 1.3536100387573242, -2.377680778503418, -0.05336623266339302, 1.54090416431427]","[-2.313101053237915, -2.7676146030426025, 1.3067340850830078, -2.4900097846984863, -0.05278536677360535, 1.5694416761398315]",Success,5,"[-2.267981767654419, -2.688774824142456, 1.3392099142074585, -2.3527045249938965, -0.051585711538791656, 1.502663493156433]",0.043211258947849274,"[-0.018528223037719727, 0.04555487632751465, 0.014400124549865723]","[-0.024976253509521484, -0.0017805211246013641, 0.038240671157836914]",0.051243588800964045,0.04459889609922206
2026-02-19T13:48:44,data/apt1/kitchen/data/frame-000581.color.jpg,"[-2.2175700664520264, -2.9434099197387695, 1.425920009613037, -2.25437593460083, -0.07336243987083435, 2.5044078826904297]","[-2.159013271331787, -2.8257806301116943, 1.4954276084899902, -2.150674819946289, -0.07548787444829941, 2.4766130447387695]",Failed,0,"[NaN, NaN, NaN, NaN, NaN, NaN]",nan,"[NaN, NaN, NaN]","[NaN, NaN, NaN]",nan,nan
2026-02-19T13:48:45,data/apt1/kitchen/data/frame-000301.color.jpg,"[-1.6845099925994873, -2.7152600288391113, 1.4109300374984741, -2.382479667663574, -0.03701185807585716, 2.723597526550293]","[-1.760990023612976, -2.8421213626861572, 1.4184629917144775, -2.4329745769500732, -0.035325273871421814, 2.8171515464782715]",Success,4,"[-1.7050970792770386, -2.7220218181610107, 1.4164001941680908, -2.3832106590270996, -0.02561415173113346, 2.7394280433654785]",0.040327027440071106,"[0.02058708667755127, 0.006761789321899414, -0.005470156669616699]","[0.0007309913635253906, -0.011397706344723701, -0.015830516815185547]",0.022348882448411465,0.019501794767251605
2026-02-19T14:01:53,data/apt1/kitchen/data/frame-000863.color.jpg,"[-2.4502999782562256, -2.4622600078582764, 1.4652099609375, -2.240147829055786, -0.18194836378097534, 1.492801547050476]","[-2.4366164207458496, -2.3517606258392334, 1.394412875175476, -2.351970911026001, -0.18541862070560455, 1.5636235475540161]",Success,5,"[-2.406442403793335, -2.429111957550049, 1.446028709411621, -2.2114827632904053, -0.16000528633594513, 1.475351333618164]",0.049540925770998,"[-0.043857574462890625, -0.03314805030822754, 0.019181251525878906]","[-0.02866506576538086, -0.021943077445030212, 0.01745021343231201]",0.05822542818308691,0.037913173857699094
2026-02-19T14:01:53,data/apt1/kitchen/data/frame-000460.color.jpg,"[-2.1398699283599854, -1.9489699602127075, 1.4357399940490723, -2.2946691513061523, -0.08172114938497543, 1.2006103992462158]","[-2.2408642768859863, -1.9456977844238281, 1.5006593465805054, -2.186933755874634, -0.07893024384975433, 1.1747243404388428]",Success,6,"[-2.1695749759674072, -1.9451431035995483, 1.4620712995529175, -2.3080835342407227, -0.07985970377922058, 1.2001234292984009]",0.03947661817073822,"[0.029705047607421875, -0.0038268566131591797, -0.026331305503845215]","[0.013414382934570312, -0.0018614456057548523, 0.0004869699478149414]",0.0398794725947286,0.01359051495356711
2026-02-19T14:01:59,data/apt1/kitchen/data/frame-000040.color.jpg,"[-1.996019959449768, -0.9710909724235535, 1.8829100131988525, -1.9566372632980347, 0.04990564286708832, 1.489833950996399]","[-1.9841188192367554, -0.9786816835403442, 1.9398311376571655, -1.8994388580322266, 0.05162053555250168, 1.5121647119522095]",Unknown,0,"[NaN, NaN, NaN, NaN, NaN, NaN]",nan,"[NaN, NaN, NaN]","[NaN, NaN, NaN]",nan,nan
2026-02-19T14:01:59,data/apt1/kitchen/data/frame-001041.color.jpg,"[-1.4833600521087646, -2.840640068054199, 1.3609299659729004, -2.5781521797180176, -0.024290230125188828, 2.774630069732666]","[-1.482555866241455, -2.7471542358398438, 1.416786551475525, -2.5264389514923096, -0.024455998092889786, 2.814077138900757]",Success,4,"[-1.482998251914978, -2.808345079421997, 1.373212456703186, -2.568286657333374, -0.019976045936346054, 2.7781360149383545]",0.03939008340239525,"[-0.0003618001937866211, -0.03229498863220215, -0.012282490730285645]","[-0.009865522384643555, -0.0043141841888427734, -0.0035059452056884766]",0.03455367952438412,0.011391358854351089
