run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-05T12:23:34,data/apt1/living/data/frame-000406.color.jpg,"[-1.6305999755859375, 1.625789999961853, 1.518339991569519, -2.0897624492645264, -0.11521358788013458, 1.0478142499923706]","[-1.3340916633605957, 1.1512247323989868, 1.273555040359497, -1.5537551641464233, -0.0816514790058136, 1.2986583709716797]",Success,6,"[-1.5409622192382812, 1.433850884437561, 1.354805588722229, -1.9436551332473755, -0.2530117332935333, 0.999952495098114]",0.033756546676158905,"[-0.08963775634765625, 0.191939115524292, 0.16353440284729004]","[-0.14610731601715088, 0.13779814541339874, 0.04786175489425659]",0.26761736181703355,0.20005643623103847
2026-03-05T12:23:40,data/apt1/living/data/frame-000839.color.jpg,"[-0.5713670253753662, 1.5667200088500977, 1.3342299461364746, -2.286397933959961, -0.02849467657506466, 0.4871094524860382]","[-0.4110178053379059, 1.967746376991272, 1.1827914714813232, -2.097951650619507, -0.03219340369105339, 0.37509530782699585]",Success,6,"[-0.40719926357269287, 1.5067728757858276, 1.4974316358566284, -2.315843343734741, 0.06848402321338654, 0.5357925891876221]",0.03585287928581238,"[-0.16416776180267334, 0.05994713306427002, -0.1632016897201538]","[0.029445409774780273, -0.0969786997884512, -0.04868313670158386]",0.23912236262097686,0.11267911398247123
2026-03-05T12:23:45,data/apt1/living/data/frame-000030.color.jpg,"[0.7833150029182434, 0.09287849813699722, 1.3237199783325195, -2.2312629222869873, -0.1834120750427246, -0.7460101842880249]","[0.9590868353843689, 0.07335034757852554, 1.5317379236221313, -2.152231216430664, -0.1536753922700882, -0.6202608346939087]",Success,5,"[0.887746274471283, 0.10298097133636475, 1.3482757806777954, -2.2509398460388184, -0.14206863939762115, -0.7035720348358154]",0.04173498600721359,"[-0.10443127155303955, -0.010102473199367523, -0.02455580234527588]","[0.019676923751831055, -0.041343435645103455, -0.04243814945220947]",0.10775406197331441,0.060220218431666056
2026-03-05T12:23:51,data/apt1/living/data/frame-000301.color.jpg,"[-0.7017239928245544, 1.6692099571228027, 1.3373700380325317, -2.410048484802246, -0.05560573190450668, -0.6392203569412231]","[-0.8835606575012207, 1.2362940311431885, 1.4353796243667603, -2.192289352416992, -0.04015467315912247, -0.5937551856040955]",Success,4,"[-0.8248165845870972, 1.521511435508728, 1.2600985765457153, -2.2859461307525635, -0.05950876325368881, -0.6846629977226257]",0.04101964458823204,"[0.12309259176254272, 0.1476985216140747, 0.0772714614868164]","[-0.12410235404968262, 0.003903031349182129, 0.04544264078140259]",0.20721370175283257,0.1297311156809821
2026-03-05T12:24:01,data/apt1/living/data/frame-000827.color.jpg,"[-0.5472660064697266, 1.630560040473938, 1.392590045928955, -2.20177960395813, -0.046643950045108795, 0.2744320034980774]","[-0.528254508972168, 1.4843428134918213, 1.1228395700454712, -2.7382943630218506, -0.060409072786569595, 0.20340342819690704]",Failed,20,"[0.0011700172908604145, 1.63182532787323, 0.5801994204521179, -2.3042378425598145, 0.48214757442474365, 0.3013506829738617]",0.16889142990112305,"[-0.548436023760587, -0.0012652873992919922, 0.8123906254768372]","[0.10245823860168457, -0.5287915244698524, -0.026918679475784302]",0.9801847792498988,0.5401713375514436
2026-03-05T12:24:07,data/apt1/living/data/frame-000474.color.jpg,"[-1.96766996383667, 0.9384750127792358, 1.556920051574707, -2.0381789207458496, -0.011655845679342747, 1.0449950695037842]","[-1.4523760080337524, 0.6788750290870667, 1.3168367147445679, -2.5379478931427, -0.014088724739849567, 1.2738471031188965]",Success,8,"[1.2839429378509521, 0.7065282464027405, 0.9159168601036072, -1.8881601095199585, 0.7053535580635071, 1.421714186668396]",0.04814399033784866,"[-3.251612901687622, 0.23194676637649536, 0.6410031914710999]","[-0.1500188112258911, -0.7170094037428498, -0.3767191171646118]",3.32229903174444,0.7949400211304531
2026-03-05T12:24:14,data/apt1/living/data/frame-000446.color.jpg,"[-1.4823299646377563, 1.0180799961090088, 1.3796700239181519, -2.2193491458892822, -0.09493610262870789, 1.1835994720458984]","[-1.710776925086975, 1.2318921089172363, 1.2894854545593262, -2.7547414302825928, -0.0848316103219986, 1.52498459815979]",Success,6,"[-1.5208377838134766, 1.0374796390533447, 1.4077095985412598, -2.2789926528930664, -0.07109418511390686, 1.171360731124878]",0.03609878197312355,"[0.038507819175720215, -0.019399642944335938, -0.02803957462310791]","[0.05964350700378418, -0.023841917514801025, 0.012238740921020508]",0.05143360797263328,0.06630544047988728
2026-03-05T12:24:20,data/apt1/living/data/frame-000083.color.jpg,"[0.3029170036315918, 0.9407129883766174, 1.3562300205230713, -2.343311309814453, -0.10460899770259857, -1.2808005809783936]","[0.3544643521308899, 0.7040718793869019, 1.7175923585891724, -2.1239845752716064, -0.12591972947120667, -1.0731960535049438]",Success,6,"[0.18949410319328308, 1.1185312271118164, 1.5049327611923218, -2.3485333919525146, -0.23341159522533417, -1.4092838764190674]",0.03804750740528107,"[0.11342290043830872, -0.17781823873519897, -0.1487027406692505]","[0.0052220821380615234, 0.1288025975227356, 0.12848329544067383]",0.25806314237657624,0.18256040131722712
2026-03-05T12:24:26,data/apt1/living/data/frame-000366.color.jpg,"[-1.3885999917984009, 1.7864999771118164, 1.4400099515914917, -2.1960625648498535, -0.14192244410514832, 0.5581309795379639]","[-1.0680783987045288, 1.4937037229537964, 1.8558001518249512, -2.540897846221924, -0.1412036120891571, 0.5228837728500366]",Success,7,"[-1.3079415559768677, 1.7386239767074585, 1.5334707498550415, -2.2146904468536377, -0.13637490570545197, 0.5771107077598572]",0.04376676678657532,"[-0.0806584358215332, 0.04787600040435791, -0.0934607982635498]","[0.01862788200378418, -0.00554753839969635, -0.01897972822189331]",0.13241153837923048,0.02529655483266613
2026-03-05T12:24:33,data/apt1/living/data/frame-000878.color.jpg,"[-1.056879997253418, 1.648300051689148, 1.4493399858474731, -2.1722159385681152, -0.06369238346815109, 0.8105442523956299]","[-0.8133372068405151, 1.8565155267715454, 1.2368630170822144, -2.202601909637451, -0.07959818094968796, 1.0204522609710693]",Success,5,"[-0.7823058366775513, 1.6970384120941162, 1.3437494039535522, -2.073911428451538, -0.025141516700387, 0.9522661566734314]",0.03476168215274811,"[-0.2745741605758667, -0.04873836040496826, 0.1055905818939209]","[-0.09830451011657715, -0.03855086676776409, -0.1417219042778015]",0.2981874719293271,0.18014578301315384
