run_datetime[iso8601],desired_image_path[path],"desired_pose[x,y,z(m),rx,ry,rz(rad)]","initial_pose[x,y,z(m),rx,ry,rz(rad)]",convergence_status[Success|Failed],iterations_before_converging[count],"final_pose[x,y,z(m),rx,ry,rz(rad)]",final_error[l2_norm],"pose_diff_position[dx,dy,dz(m)]","pose_diff_rotation[drx,dry,drz(rad)]",position_euclidean_distance[m],geodesic_rotation_distance[rad]
2026-03-05T10:40:06,data/playroom/images/DSC05665.jpg,"[-0.5225735902786255, 0.07519686967134476, -0.6457386016845703, 1.6462377309799194, 0.8058283925056458, 2.6045072078704834]","[-0.39718326926231384, 0.09187117964029312, -0.6687179207801819, 1.7298121452331543, 0.8408437371253967, 2.2335150241851807]",Success,3,"[-0.5136345624923706, 0.07488248497247696, -0.6412582993507385, 1.6478198766708374, 0.8054483532905579, 2.606870412826538]",0.030592111870646477,"[-0.008939027786254883, 0.00031438469886779785, -0.004480302333831787]","[-0.0015821456909179688, 0.0003800392150878906, -0.0023632049560546875]",0.010003907461829983,0.0016848640917805477
2026-03-05T10:40:07,data/playroom/images/DSC05635.jpg,"[3.143845796585083, 1.3655242919921875, -3.198150157928467, 0.3960476815700531, -0.7215537428855896, -0.36998090147972107]","[2.9820802211761475, 1.6848974227905273, -3.679361343383789, 0.3352590501308441, -0.5674827098846436, -0.39514264464378357]",Success,2,"[3.1295359134674072, 1.3595547676086426, -3.2144789695739746, 0.3940483033657074, -0.7199715971946716, -0.36864203214645386]",0.02747085690498352,"[0.014309883117675781, 0.005969524383544922, 0.016328811645507812]","[0.001999378204345703, -0.0015821456909179688, -0.001338869333267212]",0.022517505766886155,0.002181737116172524
2026-03-05T10:40:08,data/playroom/images/DSC05662.jpg,"[-0.5192156434059143, -0.668944239616394, 0.020525692030787468, 1.8433040380477905, -1.1544631719589233, -2.1005334854125977]","[-0.5679961442947388, -0.6107746362686157, 0.016314813867211342, 1.5453990697860718, -1.4434747695922852, -2.184169292449951]",Success,4,"[-0.5227106213569641, -0.6737726330757141, 0.026156539097428322, 1.8449780941009521, -1.1544660329818726, -2.1030774116516113]",0.033619221299886703,"[0.0034949779510498047, 0.004828393459320068, -0.005630847066640854]","[-0.001674056053161621, 2.86102294921875e-06, 0.002543926239013672]",0.008199676393872323,0.0012182964767025568
2026-03-05T10:40:08,data/playroom/images/DSC05581.jpg,"[-4.740603446960449, 0.09130708128213882, -3.6414995193481445, 0.5556706190109253, 0.13116097450256348, 0.09328389167785645]","[-5.325182914733887, 0.0828503891825676, -3.2575037479400635, 0.70592200756073, 0.158305361866951, 0.10351279377937317]",Success,2,"[-4.736640930175781, 0.10694289207458496, -3.6277480125427246, 0.5581989288330078, 0.13036185503005981, 0.09400219470262527]",0.031649716198444366,"[-0.003962516784667969, -0.015635810792446136, -0.013751506805419922]","[-0.0025283098220825195, 0.0007991194725036621, -0.0007183030247688293]",0.021196321799441073,0.0026595683358664507
2026-03-05T10:40:11,data/playroom/images/DSC05653.jpg,"[-1.0114179849624634, -0.0501832477748394, -0.8106040954589844, 2.4231462478637695, -0.8849412798881531, -2.6717569828033447]","[-1.050936222076416, -0.04510995000600815, -0.9546639323234558, 2.859506845474243, -0.8467321991920471, -2.3883323669433594]",Failed,20,"[-0.16044630110263824, -1.7824854850769043, 4.023923873901367, 1.9130463600158691, 0.2789519131183624, -1.4866985082626343]",1.0675029754638672,"[-0.8509716838598251, 1.732302237302065, -4.834527969360352]","[0.5100998878479004, -1.1638931930065155, -1.1850584745407104]",5.205543634878157,1.5551744635947249
2026-03-05T10:40:12,data/playroom/images/DSC05721.jpg,"[-0.4240437150001526, 0.5025132894515991, 2.4592912197113037, 1.6786178350448608, 0.9221749901771545, 0.7759295701980591]","[-0.36839959025382996, 0.623853862285614, 2.8718504905700684, 1.200582504272461, 0.8500627875328064, 0.8040884733200073]",Success,5,"[-0.42925307154655457, 0.4993268847465515, 2.477735757827759, 1.6836663484573364, 0.9214990139007568, 0.781291127204895]",0.03197900205850601,"[0.0052093565464019775, 0.0031864047050476074, -0.018444538116455078]","[-0.005048513412475586, 0.0006759762763977051, -0.0053615570068359375]",0.019429141949691316,0.003400001050738604
2026-03-05T10:40:12,data/playroom/images/DSC05573.jpg,"[3.335566282272339, 1.3063862323760986, -2.9576973915100098, 0.2943721115589142, 0.0013578335056081414, 0.020918942987918854]","[4.068805694580078, 1.4727641344070435, -2.931978940963745, 0.30124667286872864, 0.0012486095074564219, 0.025938022881746292]",Success,2,"[3.3080391883850098, 1.3458276987075806, -2.975044012069702, 0.2982255816459656, 0.0054614245891571045, 0.021431365981698036]",0.034793153405189514,"[0.0275270938873291, -0.039441466331481934, 0.017346620559692383]","[-0.0038534700870513916, -0.004103591083548963, -0.0005124229937791824]",0.051129985420506396,0.005651352223155192
2026-03-05T10:40:13,data/playroom/images/DSC05759.jpg,"[0.310179203748703, -0.8616442680358887, -3.7049484252929688, -0.3203745484352112, -0.017888883128762245, -0.012233045883476734]","[0.32012808322906494, -0.9594886302947998, -3.1002731323242188, -0.3117242455482483, -0.01727619208395481, -0.01099357195198536]",Success,2,"[0.3159613013267517, -0.8554881811141968, -3.7021126747131348, -0.3197338879108429, -0.018584173172712326, -0.012192981317639351]",0.027707364410161972,"[-0.005782097578048706, -0.0061560869216918945, -0.0028357505798339844]","[-0.0006406605243682861, 0.0006952900439500809, -4.006456583738327e-05]",0.008909070655266546,0.0009467921822936744
2026-03-05T10:40:14,data/playroom/images/DSC05679.jpg,"[-0.8643508553504944, -0.6048207879066467, 0.600840151309967, -2.2017505168914795, 0.5230090618133545, -1.4383256435394287]","[-0.7699658870697021, -0.5630846619606018, 0.6221103668212891, -2.520617723464966, 0.5752361416816711, -1.8650269508361816]",Success,8,"[-0.8607746362686157, -0.6065018177032471, 0.602643609046936, -2.202122211456299, 0.5227190852165222, -1.4379611015319824]",0.034960728138685226,"[-0.003576219081878662, 0.0016810297966003418, -0.0018034577369689941]","[0.00037169456481933594, 0.0002899765968322754, -0.00036454200744628906]",0.004343692427841154,0.0007003284710534214
2026-03-05T10:40:15,data/playroom/images/DSC05636.jpg,"[3.221109628677368, 1.8418259620666504, -3.0610878467559814, -0.2528758943080902, -0.6969367861747742, -0.361477792263031]","[2.6107747554779053, 1.3695836067199707, -3.2972636222839355, -0.21474336087703705, -0.7598413228988647, -0.27611374855041504]",Success,3,"[3.217106819152832, 1.8428629636764526, -3.0594065189361572, -0.2532697319984436, -0.6967051029205322, -0.3612384796142578]",0.030764266848564148,"[0.004002809524536133, -0.001037001609802246, -0.0016813278198242188]","[0.00039383769035339355, -0.00023168325424194336, -0.00023931264877319336]",0.004463711422814483,0.0003808927322242574
